timestamp,angulo,azimute,manual,rele
2025-07-10 18:25:09,75.0,289.21,True,0
2025-07-10 18:25:09,62.0,289.21,True,1
2025-07-10 18:25:12,62.0,289.21,True,0
2025-07-10 18:26:26,62.0,289.12,True,0
2025-07-10 18:28:06,62.0,289.01,True,0
2025-07-10 18:28:42,222.0,288.97,False,1
2025-07-10 18:28:45,222.0,288.97,False,0
2025-07-10 18:28:49,222.0,288.96,True,0
2025-07-10 18:28:51,68.0,288.96,True,1
2025-07-10 18:28:54,68.0,288.96,True,0
